Group,Order,Movie,Year,File Name,Duration,Watched,IMDB Rating,Size,Size in GB
1,1,Flashbacks of a Fool,2008,Flashbacks of a Fool [2008].avi,1:45:00,TRUE,6.8,733493248,0.68
1,2,The Vicious Kind,2009,The Vicious Kind [2009].avi,1:34:00,TRUE,6.9,734357504,0.68
1,3,A Simple Plan,1998,A Simple Plan [1998].mkv,2:01:00,TRUE,7.5,1110114304,1.03
1,4,Flesh + Blood,1985,Flesh + Blood [1985].mkv,2:06:00,TRUE,6.7,1117847552,1.04
1,5,Raising Arizona,1987,Raising Arizona [1987].mp4,1:34:00,TRUE,7.3,1647764083,1.53
1,6,Barton Fink,1991,Barton Fink [1991].avi,1:56:00,TRUE,7.6,733450240,0.68
1,7,Green Room,2015,Green Room [2015].avi,1:35:00,TRUE,7.0,734126080,0.68
1,8,Kairo,2001,Kairo [2001].mkv,1:58:00,TRUE,6.5,1552384629,1.45
1,9,Branded,2012,Branded [2012].mp4,1:46:00,TRUE,4.6,1604596450,1.49
1,10,Nocturnal Animals,2016,Nocturnal Animals [2016].mkv,1:56:00,TRUE,7.5,948713766,0.88
1,11,Sweet November,2001,Sweet November [2001].avi,1:59:00,FALSE,6.7,1466617856,1.37
1,12,Love Story,1970,Love Story [1970].avi,1:39:00,FALSE,6.9,730814802,0.68
1,13,Rust And Bone,2012,Rust And Bone [2012].mp4,2:00:00,TRUE,7.4,1291791817,1.20
1,14,Horns,2013,Horns [2013].avi,2:03:00,TRUE,6.4,1472747420,1.37
1,15,Sicario,2015,Sicario [2015].mkv,2:01:00,TRUE,7.7,1044510845,0.97
1,16,Take Shelter,2011,Take Shelter [2011].mp4,2:01:00,TRUE,7.3,788275152,0.73
2,1,A Monster Calls,2016,A Monster Calls [2016].mkv,1:48:00,FALSE,7.4,2682971743,2.50
2,2,A Walk in the Clouds,1995,A Walk in the Clouds [1995].avi,1:42:00,FALSE,6.7,1265352950,1.18
2,3,Altered States,1980,Altered States [1980].mp4,1:42:00,FALSE,6.9,839632939,0.78
2,4,Bitter Moon,1992,Bitter Moon [1992].mp4,2:19:00,FALSE,6.9,975584311,0.91
2,5,Bubba Ho - Tep,2002,Bubba Ho - Tep [2002].avi,1:32:00,TRUE,7.2,735025152,0.68
2,6,Cloak and Dagger,1984,Cloak and Dagger [1984].mkv,1:41:00,FALSE,6.5,1580403151,1.47
2,7,Fantastic Planet,1973,Fantastic Planet [1973].mkv,1:12:00,FALSE,7.7,1190640575,1.11
2,8,Pride And Prejudice,2005,Pride And Prejudice [2005].mkv,2:07:00,FALSE,7.8,1186533975,1.11
2,9,Russian Ark,2002,Russian Ark [2002].mp4,1:39:00,FALSE,7.2,829610762,0.77
2,10,Shutter Island,2010,Shutter Island [2010].mp4,2:18:00,FALSE,8.2,1513847775,1.41
2,11,Starman,1984,Starman [1984].avi,1:55:00,FALSE,7.0,737175552,0.69
2,12,The Lords of Flatbush,1974,The Lords of Flatbush [1974].avi,1:26:00,TRUE,5.6,729384960,0.68
2,13,The Pelican Brief,1993,The Pelican Brief [1993].mkv,2:21:00,FALSE,6.6,734666620,0.68
2,14,The Sea Of Trees,2015,The Sea Of Trees [2015].mp4,1:50:00,FALSE,6.1,816813007,0.76
2,15,The Way Of The Gun,2000,The Way Of The Gun [2000].avi,1:59:00,FALSE,6.6,734285824,0.68
3,1,A Boy and His Dog,1975,A Boy and His Dog [1975].avi,1:31:00,FALSE,6.4,735261618,0.68
3,2,A Pigeon Sat on a Branch Reflecting on Existence,2014,A Pigeon Sat on a Branch Reflecting on Existence [2014].mkv,1:41:00,FALSE,6.9,1980947679,1.84
